ISO3,Country,recent_period_start,recent_period_end,yield_recent_avg_kg_ha,fertilizers_recent_avg_kg_ha,emissions_recent_avg_t_per_ha,agriculture_share_gdp_recent_avg,yield_z,fert_z,emis_z,efficiency_index,efficiency_0_100
KEN,Kenya,2014,2023,3984.035307909372,42.146,2.444345087065504,20.69476319012912,-0.45718711516957206,-0.4980452323445638,-0.1265194821410139,-0.024690761587684802,50.1441564383917
ARG,Argentina,2014,2023,3441.546128628391,46.025999999999996,1.4216182562502129,5.9438479415870695,-0.5310767403150264,-0.4556501672447669,-0.29695592107862995,-0.02805050269867433,50.08684140197739
BHR,Bahrain,2014,2023,11141.533311618394,135.978,5.749890904175385,0.2796169476603779,0.5176984026841817,0.5272160430276389,0.42434653685667323,-0.031287165914578224,50.0316259958041
GRC,Greece,2014,2023,5990.186525194612,92.938,1.5940825912717111,3.630494402731454,-0.18393970841618157,0.05693676418865428,-0.26821490615739646,-0.03280017150452888,50.0058150872792
DNK,Denmark,2014,2023,8693.589810216237,134.29500000000002,2.321067510994601,1.0561991670195248,0.1842767703198409,0.5088266372124436,-0.14706357117174398,-0.03295755172686866,50.00313028125507
ROU,Romania,2014,2023,4632.121514108357,73.87,1.2191741368918179,4.32601329033046,-0.368914669069445,-0.15141094233787353,-0.3306930381148585,-0.03791505885117355,49.91855837765681
GNB,Guinea-Bissau,2014,2023,1376.3175088531016,10.636,1.4139618911264222,35.35901775613347,-0.8123707723123389,-0.8423412378328632,-0.29823184693447635,-0.038306514457074475,49.9118803951678
BIH,Bosnia and Herzegovina,2014,2023,5679.30129075546,90.464,1.491102123860286,5.516731666363233,-0.22628376671871173,0.029904446905948668,-0.2853765016263868,-0.039454903688608184,49.89228960872064
ZMB,Zambia,2014,2023,4319.857524500588,64.59299999999999,1.5652754112079943,3.951276486618494,-0.4114465204312054,-0.2527766688664346,-0.27301559490238675,-0.04106403480851538,49.864838860080745
SDN,Sudan,2014,2023,1056.6875338134778,7.436999999999999,1.3147235415389176,21.253125592904194,-0.8559059061784766,-0.8772953134138556,-0.31476982208103355,-0.043276608235899405,49.82709377128653
MLI,Mali,2014,2023,1895.9014777034542,18.294,1.791342246072847,31.70373169688624,-0.7416009465605611,-0.7586656170766145,-0.2353417751341614,-0.047285297045727794,49.75870810182009
SYC,Seychelles,2014,2023,3895.25318238996,56.648,1.811806451612903,2.1976415287197653,-0.46927966599785,-0.33958821325248767,-0.2319314350386012,-0.051316526963635894,49.68993789545401
BFA,Burkina Faso,2014,2023,1143.6775216215342,12.7,1.266687645776173,19.789585358223242,-0.8440574530921603,-0.8197888114498784,-0.32277495773241194,-0.05319547102340569,49.657884310475715
GMB,Gambia,2014,2023,803.8720900656825,3.4590000000000005,1.6488018719985902,21.83149811561919,-0.8903405807912781,-0.9207611817043174,-0.25909599085438983,-0.059650909131182456,49.54775866150612
ETH,Ethiopia,2014,2023,2669.545433877028,29.502,2.5018916294071842,35.44718856313399,-0.6362269333987179,-0.6362006970666856,-0.11692940641955264,-0.06620955930452924,49.43587228065239
TUR,Türkiye,2014,2023,6269.31874642851,106.614,1.7624996108814919,6.26400152986412,-0.1459205626327998,0.20636844210226846,-0.24014837244194157,-0.06753769270495505,49.41321517354391
NAM,Namibia,2014,2023,1856.6281679541614,18.344,2.2513212221751915,7.919564379736229,-0.7469501594968315,-0.7581192889181119,-0.15868672286516183,-0.06902010438185022,49.387926177625644
FIN,Finland,2014,2023,4474.021566879086,68.119,2.3420506881208563,2.168657034609839,-0.3904486392986213,-0.21424960712883548,-0.14356674496239807,-0.07553531930512943,49.276780774382104
ISL,Iceland,2014,2023,8919.76659173856,142.628,3.0253880185745845,4.447362018407643,0.21508313151849212,0.5998776881084762,-0.029689238587771023,-0.07575358760227864,49.27305725671038
ESP,Spain,2014,2023,5557.460492476344,103.907,1.3618247224430764,2.6452230071441387,-0.24287906715253627,0.17679023560094098,-0.30692045575839416,-0.08560253695932508,49.10504047434718
SRB,Serbia,2014,2023,5885.050680085121,107.89200000000001,1.5494869586674758,5.1791726967427305,-0.19825971419913047,0.22033258983359338,-0.27564672527489925,-0.08640496702096191,49.09135153026389
SVN,Slovenia,2014,2023,7401.75144768444,121.628,2.7338913598498435,1.7739149441651332,0.008322196474687567,0.37041986153741047,-0.07826687533135143,-0.08781425121477587,49.067310042477125
ERI,Eritrea,2014,2023,696.348284412825,3.4859999999999998,2.2634209537572256,14.124227435498401,-0.9049858382403438,-0.9204661644987261,-0.15667031427901087,-0.09193619928878416,48.99699224233862
MMR,Myanmar,2014,2023,3100.7604488273637,31.935000000000002,3.6049476077070346,23.68126201173995,-0.5774933825212565,-0.6096163688739521,0.06689380739053719,-0.09371056332001412,48.96672272581857
MDV,Maldives,2014,2023,2859.445955431573,65.377,0.709624716553288,5.440666181381804,-0.6103615725979931,-0.2442102433411147,-0.41560895705676626,-0.09749739540257091,48.902121790348666
CYP,Cyprus,2014,2023,7056.595270327993,129.457,1.8562177520670917,1.685831705273729,-0.03868972843653055,0.4559639245957378,-0.2245303346959355,-0.09806697150117621,48.89240518607654
USA,United States of America,2014,2023,5863.269449793348,109.311,1.6924642390244078,0.9379315979694809,-0.2012264221131925,0.23583738297189538,-0.2518196995444853,-0.09834817995638394,48.8876079495283
SSD,South Sudan,2014,2023,1391.5454323780982,0.06899999999999999,4.012047596747318,10.079175547380506,-0.810296656175134,-0.9578022308507895,0.13473662751901352,-0.11097698290332689,48.67216864130137
LUX,Luxembourg,2014,2023,6079.133831678579,92.049,3.723004110516094,0.2260488221644724,-0.17182465914919143,0.047223049530479205,0.08656780960299965,-0.11312996387702981,48.635440161686226
SVK,Slovakia,2014,2023,6210.90903989171,120.89000000000001,1.6690851303086531,1.985555447838749,-0.15387624448912818,0.3623560579179132,-0.2557158054400079,-0.11402217603547966,48.6202195924038
JPN,Japan,2014,2023,11515.645981086516,188.988,4.126102918687963,1.03034793179416,0.5686543405441831,1.1064331566720296,0.15374383680279707,-0.11447145295742574,48.61255521521199
